;ticker;group;source
1;api;real;rosstat
2;bci_CHN;survey;oecd
3;bci_EA19;survey;oecd
4;bci_G7;survey;oecd
5;bci_OECD;survey;oecd
6;bci_OECDE;survey;oecd
7;bci_RUS;survey;oecd
8;bci_USA;survey;oecd
9;cgi_CHN;survey;oecd
10;cgi_EA19;survey;oecd
11;cgi_G7;survey;oecd
12;cgi_OECD;survey;oecd
13;cgi_OECDE;survey;oecd
14;cgi_RUS;survey;oecd
15;cgi_USA;survey;oecd
16;cli_CHN;survey;oecd
17;cli_EA19;survey;oecd
18;cli_G7;survey;oecd
19;cli_OECD;survey;oecd
20;cli_OECDE;survey;oecd
21;cli_RUS;survey;oecd
22;cli_USA;survey;oecd
23;cons_nom;real;rosstat
24;cons_real;real;rosstat
25;construction_nom;real;rosstat
26;construction_real;real;internal
27;cpi;real;rosstat
28;cpi_alcohol;real;rosstat
29;cpi_food;real;rosstat
30;DCOILBRENTEU;financial;fred
31;DCOILBRENTEU_monthly;financial;internal
32;deficit;real;rosstat
33;depo;financial;cbr
34;depo_monthly;financial;internal
35;eggs;real;rosstat
36;employed;real;internal
37;employed_15;real;rosstat
38;employed_15_72;real;rosstat
39;employer_demands;real;rosstat
40;export_nom;real;rosstat
41;export_real;real;rosstat
42;export_usd;financial;cbr
43;fer;financial;cbr
44;fer_monthly;financial;internal
45;freight_loading_railway;real;rosstat
46;freight_turnover;real;rosstat
47;freight_turnover_commercial;real;rosstat
48;gdp_nom;real;rosstat
49;gdp_real;real;rosstat
50;gdp_volume_index;real;rosstat
51;gross_profit_nom;real;rosstat
52;igrea;financial;dallasfed
53;IMOEX;financial;moex
54;IMOEX_monthly;financial;internal
55;import_nom;real;rosstat
56;import_real;real;rosstat
57;import_usd;financial;cbr
58;income_real;real;rosstat
59;income_real_disp;real;rosstat
60;indebtedness_cred;real;rosstat
61;indebtedness_cred_budget;real;rosstat
62;indebtedness_cred_overdue;real;rosstat
63;indebtedness_cred_suppliers;real;rosstat
64;indebtedness_debt;real;rosstat
65;indebtedness_debt_customer;real;rosstat
66;indebtedness_debt_overdue;real;rosstat
67;invest_fixed_capital_nom;real;rosstat
68;invest_fixed_capital_real;real;rosstat
69;invest_nom;real;rosstat
70;invest_real;real;rosstat
71;investment_fc;real;rosstat
72;investment_fc_budget_funds;real;rosstat
73;investment_fc_external_funds;real;rosstat
74;investment_fc_federal_budget;real;rosstat
75;investment_fc_own_funds;real;rosstat
76;investment_nom;;user
77;investment_real;;user
78;ipi;real;rosstat
79;ipi_electricity;real;rosstat
80;ipi_manufacturing;real;rosstat
81;ipi_mining;real;rosstat
82;ipi_water;real;rosstat
83;labor_income_nom;real;rosstat
84;li_building_1;survey;rosstat
85;li_consumer;survey;rosstat
86;li_electricity_1;survey;rosstat
87;li_manufacturing_1;survey;rosstat
88;li_mining_1;survey;rosstat
89;li_retail_1;survey;rosstat
90;li_services;survey;rosstat
91;livestock;real;rosstat
92;loss_making_construction;real;rosstat
93;loss_making_electricity;real;rosstat
94;loss_making_manufacturing;real;rosstat
95;loss_making_mining;real;rosstat
96;loss_making_transport;real;rosstat
97;m2;financial;cbr
98;miacr;financial;cbr
99;miacr_monthly;financial;internal
100;milk;real;rosstat
101;MOEX10;financial;moex
102;MOEX10_monthly;financial;internal
103;monetary_base;financial;cbr
104;monetary_base_weekly;financial;cbr
105;money_income;real;rosstat
106;mosprime;financial;cbr
107;mosprime_monthly;financial;internal
108;NBRUBIS;financial;fred
109;net_result_construction;real;rosstat
110;net_result_electricity;real;rosstat
111;net_result_manufacturing;real;rosstat
112;net_result_mining;real;rosstat
113;net_result_transport;real;rosstat
114;non_labor;real;rosstat
115;non_labor_to_employer_demands;real;rosstat
116;ostat;financial;cbr
117;ostat_monthly;financial;internal
118;PALLFNFINDEXM;financial;fred
119;PALUMUSDM;financial;fred
120;PFOODINDEXM;financial;fred
121;PINDUINDEXM;financial;fred
122;PMETAINDEXM;financial;fred
123;PNICKUSDM;financial;fred
124;PNRGINDEXM;financial;fred
125;ppi;real;rosstat
126;ppi_animal;real;rosstat
127;ppi_cattle;real;rosstat
128;ppi_construction;real;rosstat
129;ppi_diesel;real;rosstat
130;ppi_eggs;real;rosstat
131;ppi_electricity;real;rosstat
132;ppi_freight;real;rosstat
133;ppi_gas;real;rosstat
134;ppi_gasoline;real;rosstat
135;ppi_investment;real;rosstat
136;ppi_manufacturing;real;rosstat
137;ppi_milk;real;rosstat
138;ppi_mining;real;rosstat
139;ppi_non_food;real;rosstat
140;ppi_oil;real;rosstat
141;ppi_poultry;real;rosstat
142;ppi_resid;real;rosstat
143;ppi_services;real;rosstat
144;ppi_water;real;rosstat
145;ppil_coal;real;rosstat
146;PWHEAMTUSDM;financial;fred
147;PZINCUSDM;financial;fred
148;RBRUBIS;financial;fred
149;repo;financial;cbr
150;repo_monthly;financial;internal
151;residential;real;rosstat
152;retail_catering_nom;real;rosstat
153;retail_catering_real;real;rosstat
154;retail_food_nom;real;rosstat
155;retail_food_real;real;rosstat
156;retail_inventory_days;real;rosstat
157;retail_inventory_nom;real;rosstat
158;retail_nom;real;rosstat
159;retail_non_food_nom;real;rosstat
160;retail_non_food_real;real;rosstat
161;retail_real;real;rosstat
162;RGBI;financial;moex
163;RGBI_monthly;financial;internal
164;RGBITR;financial;moex
165;RGBITR_monthly;financial;internal
166;RTSI;financial;moex
167;RTSI_monthly;financial;internal
168;RTSOG;financial;moex
169;RTSOG_monthly;financial;internal
170;saldo;financial;cbr
171;saldo_monthly;financial;internal
172;services_market;real;rosstat
173;services_real;financial;internal
174;SP500;financial;fred
175;SP500_monthly;financial;internal
176;STLFSI2;financial;fred
177;STLFSI2_monthly;financial;internal
178;unemployed;real;internal
179;unemployed_15;real;rosstat
180;unemployed_15_72;real;rosstat
181;unemployment;real;internal
182;unemployment_15;real;rosstat
183;unemployment_15_72;real;rosstat
184;unemployment_registered;real;rosstat
185;urals_monthly;;user
186;usd;financial;cbr
187;usd_monthly;financial;internal
188;wage_nom;real;rosstat
189;wage_overdue;real;rosstat
190;wage_real;real;rosstat
